date,product,category,price,quantity,revenue
4/9/2022,Jeans,Clothing,50,10,500
4/10/2022,Watch,Accessories,150,12,1800
4/11/2022,Hoodie,Clothing,40,20,800
4/12/2022,Smartphone,Electronics,600,12,7200
4/13/2022,Sneakers,Shoes,80,8,640
4/14/2022,Wallet,Accessories,30,30,900
4/15/2022,Smartwatch,Accessories,200,5,1000
4/16/2022,Smartphone,Electronics,600,6,3600
4/17/2022,Coat,Clothing,100,8,800
4/18/2022,Speaker,Electronics,80,20,1600
4/19/2022,Backpack,Bags,50,15,750
4/20/2022,T-Shirt,Clothing,20,20,400
4/21/2022,Tablet,Electronics,400,6,2400
4/22/2022,Smartphone,Electronics,600,7,4200
4/23/2022,Sneakers,Shoes,80,12,960
4/24/2022,T-Shirt,Clothing,20,25,500
4/25/2022,Smartwatch,Accessories,200,8,1600
4/26/2022,Jeans,Clothing,50,15,750
4/27/2022,Smartphone,Electronics,600,9,5400
4/28/2022,Watch,Accessories,150,10,1500
4/29/2022,Coat,Clothing,100,5,500
4/30/2022,Headphones,Electronics,100,15,1500
5/1/2022,Smartphone,Electronics,600,11,6600
5/2/2022,Hoodie,Clothing,40,20,800
5/3/2022,Smartphone,Electronics,600,10,6000
5/4/2022,Speaker,Electronics,80,22,1760
5/5/2022,Coat,Clothing,100,18,1800
5/6/2022,Smartwatch,Accessories,200,12,2400
5/7/2022,Smartphone,Electronics,600,7,4200
5/8/2022,Backpack,Bags,50,20,1000
5/9/2022,T-Shirt,Clothing,20,30,600
5/10/2022,Jeans,Clothing,50,25,1250
5/11/2022,Watch,Accessories,150,15,2250
5/12/2022,Hoodie,Clothing,40,15,600
5/13/2022,Smartphone,Electronics,600,12,7200
5/14/2022,Sneakers,Shoes,80,8,640
5/15/2022,Wallet,Accessories,30,35,1050
5/16/2022,Smartwatch,Accessories,200,9,1800
5/17/2022,Smartphone,Electronics,600,6,3600
5/18/2022,Coat,Clothing,100,8,800
5/19/2022,Speaker,Electronics,80,20,1600
5/20/2022,Backpack,Bags,50,15,750
5/21/2022,T-Shirt,Clothing,20,25,500
5/22/2022,Smartphone,Electronics,600,7,4200
5/23/2022,Sneakers,Shoes,80,12,960
5/24/2022,T-Shirt,Clothing,20,15,300
5/25/2022,Smartwatch,Accessories,200,8,1600
5/26/2022,Jeans,Clothing,50,20,1000
5/27/2022,Smartphone,Electronics,600,9,5400
5/28/2022,Watch,Accessories,150,5,750
5/29/2022,Coat,Clothing,100,5,500
5/30/2022,Headphones,Electronics,100,10,1000
5/31/2022,Smartphone,Electronics,600,11,6600
6/1/2022,Hoodie,Clothing,40,30,1200
6/2/2022,Smartphone,Electronics,600,10,6000
6/3/2022,Speaker,Electronics,80,25,2000
6/4/2022,Coat,Clothing,100,15,1500
6/5/2022,Smartwatch,Accessories,200,10,2000
6/6/2022,Smartphone,Electronics,600,7,4200
6/7/2022,Backpack,Bags,50,18,900
6/8/2022,T-Shirt,Clothing,20,35,700
6/9/2022,Jeans,Clothing,50,10,500
6/10/2022,Watch,Accessories,150,12,1800
6/11/2022,Hoodie,Clothing,40,20,800
6/12/2022,Smartphone,Electronics,600,12,7200
6/13/2022,Sneakers,Shoes,80,15,1200
6/14/2022,Wallet,Accessories,30,40,1200
6/15/2022,Smartwatch,Accessories,200,5,1000
6/16/2022,Smartphone,Electronics,600,6,3600
6/17/2022,Coat,Clothing,100,8,800
6/18/2022,Speaker,Electronics,80,20,1600
6/19/2022,Backpack,Bags,50,15,750
6/20/2022,T-Shirt,Clothing,20,20,400
6/21/2022,Tablet,Electronics,400,6,2400
6/22/2022,Smartphone,Electronics,600,7,4200
6/23/2022,Sneakers,Shoes,80,12,960
6/24/2022,T-Shirt,Clothing,20,25,500
6/25/2022,Smartwatch,Accessories,200,8,1600
6/26/2022,Jeans,Clothing,50,15,750
6/27/2022,Smartphone,Electronics,600,9,5400
6/28/2022,Watch,Accessories,150,10,1500
6/29/2022,Coat,Clothing,100,5,500
6/30/2022,Headphones,Electronics,100,15,1500
7/1/2022,Smartphone,Electronics,600,11,6600
7/2/2022,Hoodie,Clothing,40,20,800
7/3/2022,Smartphone,Electronics,600,10,6000
7/4/2022,Speaker,Electronics,80,22,1760
7/5/2022,Coat,Clothing,100,18,1800
7/6/2022,Smartwatch,Accessories,200,12,2400
7/7/2022,Smartphone,Electronics,600,7,4200
7/8/2022,Backpack,Bags,50,20,1000
7/9/2022,T-Shirt,Clothing,20,30,600
7/10/2022,Jeans,Clothing,50,25,1250
7/11/2022,Watch,Accessories,150,15,2250
7/12/2022,Hoodie,Clothing,40,15,600
7/13/2022,Smartphone,Electronics,600,12,7200
7/14/2022,Sneakers,Shoes,80,8,640
7/15/2022,Wallet,Accessories,30,35,1050
7/16/2022,Smartwatch,Accessories,200,9,1800
7/17/2022,Smartphone,Electronics,600,6,3600
7/18/2022,Coat,Clothing,100,8,800
7/19/2022,Speaker,Electronics,80,20,1600
7/20/2022,Backpack,Bags,50,15,750
7/21/2022,T-Shirt,Clothing,20,25,500
7/22/2022,Smartphone,Electronics,600,7,4200
7/23/2022,Sneakers,Shoes,80,12,960
7/24/2022,T-Shirt,Clothing,20,15,300
7/25/2022,Smartwatch,Accessories,200,8,1600
7/26/2022,Jeans,Clothing,50,20,1000
7/27/2022,Smartphone,Electronics,600,9,5400
7/28/2022,Watch,Accessories,150,5,750
7/29/2022,Coat,Clothing,100,5,500
7/30/2022,Headphones,Electronics,100,10,1000
7/31/2022,Smartphone,Electronics,600,11,6600
8/1/2022,Hoodie,Clohting,40,30,1200
8/2/2022,Smartphone,Electronics,600,10,6000
8/3/2022,Speaker,Electronics,80,25,2000
8/4/2022,Coat,Clothing,100,15,1500
8/5/2022,Smartwatch,Accessories,200,10,2000
8/6/2022,Smartphone,Electronics,600,7,4200
8/7/2022,Backpack,Bags,50,18,900
8/8/2022,T-Shirt,Clothing,20,35,700
8/9/2022,Jeans,Clothing,50,10,500
8/10/2022,Watch,Accessories,150,12,1800
8/11/2022,Hoodie,Clothing,40,20,800
8/12/2022,Smartphone,Electronics,600,12,7200
8/13/2022,Sneakers,Shoes,80,15,1200
8/14/2022,Wallet,Accessories,30,40,1200
8/15/2022,Smartwatch,Accessories,200,5,1000
8/16/2022,Smartphone,Electronics,600,6,3600
8/17/2022,Coat,Clothing,100,8,800
8/18/2022,Speaker,Electronics,80,20,1600
8/19/2022,Backpack,Bags,50,15,750
8/20/2022,T-Shirt,Clothing,20,20,400
8/21/2022,Tablet,Electronics,400,6,2400
8/22/2022,Smartphone,Electronics,600,7,4200
8/23/2022,Sneakers,Shoes,80,12,960
8/24/2022,T-Shirt,Clothing,20,25,500
8/25/2022,Smartwatch,Accessories,200,8,1600
8/26/2022,Jeans,Clothing,50,15,750
8/27/2022,Smartphone,Electronics,600,9,5400
8/28/2022,Watch,Accessories,150,10,1500
8/29/2022,Coat,Clothing,100,5,500
8/30/2022,Headphones,Electronics,100,15,1500
8/31/2022,Smartphone,Electronics,600,11,6600
9/1/2022,Hoodie,Clothing,40,20,800
9/2/2022,Smartphone,Electronics,600,10,6000
9/3/2022,Speaker,Electronics,80,22,1760
9/4/2022,Coat,Clothing,100,18,1800
9/5/2022,Smartwatch,Accessories,200,12,2400
9/6/2022,Smartphone,Electronics,600,7,4200
9/7/2022,Backpack,Bags,50,20,1000
9/8/2022,T-Shirt,Clothing,20,30,600
9/9/2022,Jeans,Clothing,50,25,1250
9/10/2022,Watch,Accessories,150,15,2250
9/11/2022,Hoodie,Clothing,40,15,600
9/12/2022,Smartphone,Electronics,600,12,7200
9/13/2022,Sneakers,Shoes,80,8,640
9/14/2022,Wallet,Accessories,30,35,1050
9/15/2022,Smartwatch,Accessories,200,9,1800
9/16/2022,Smartphone,Electronics,600,6,3600
9/17/2022,Coat,Clothing,100,8,800
9/18/2022,Speaker,Electronics,80,20,1600
9/19/2022,Backpack,Bags,50,15,750
9/20/2022,T-Shirt,Clothing,20,25,500
9/21/2022,Smartphone,Electronics,600,7,4200
9/22/2022,Sneakers,Shoes,80,12,960
9/23/2022,T-Shirt,Clothing,20,15,300
9/24/2022,Smartwatch,Accessories,200,8,1600
9/25/2022,Jeans,Clothing,50,20,1000
9/26/2022,Smartphone,Electronics,600,9,5400
9/27/2022,Watch,Accessories,150,5,750
9/28/2022,Coat,Clothing,100,5,500
9/29/2022,Headphones,Electronics,100,10,1000
9/30/2022,Smartphone,Electronics,600,11,6600
10/1/2022,Hoodie,Clothing,40,30,1200
10/1/2022,Hoodie,Clothing,40,30,1200
10/2/2022,Smartphone,Electronics,600,10,6000
10/3/2022,Speaker,Electronics,80,25,2000
10/4/2022,Coat,Clothing,100,15,1500
10/5/2022,Smartwatch,Accessories,200,10,2000
10/6/2022,Smartphone,Electronics,600,7,4200
10/7/2022,Backpack,Bags,50,18,900
10/8/2022,T-Shirt,Clothing,20,35,700
10/9/2022,Jeans,Clothing,50,10,500
10/10/2022,Watch,Accessories,150,12,1800
10/11/2022,Hoodie,Clothing,40,20,800
10/12/2022,Smartphone,Electronics,600,12,7200
10/13/2022,Sneakers,Shoes,80,15,1200
10/14/2022,Wallet,Accessories,30,40,1200
10/15/2022,Smartwatch,Accessories,200,5,1000
10/16/2022,Smartphone,Electronics,600,6,3600
10/17/2022,Coat,Clothing,100,8,800
10/18/2022,Speaker,Electronics,80,20,1600
10/19/2022,Backpack,Bags,50,15,750
10/20/2022,T-Shirt,Clothing,20,20,400
10/21/2022,Tablet,Electronics,400,6,2400
10/22/2022,Smartphone,Electronics,600,7,4200
10/23/2022,Sneakers,Shoes,80,12,960
10/24/2022,T-Shirt,Clothing,20,25,500
10/25/2022,Smartwatch,Accessories,200,8,1600
10/26/2022,Jeans,Clothing,50,15,750
10/27/2022,Smartphone,Electronics,600,9,5400
10/28/2022,Watch,Accessories,150,10,1500
10/29/2022,Coat,Clothing,100,5,500
10/30/2022,Headphones,Electronics,100,15,1500
10/31/2022,Smartphone,Electronics,600,11,6600
11/1/2022,Hoodie,Clothing,40,20,800
11/2/2022,Smartphone,Electronics,600,10,6000
11/3/2022,Speaker,Electronics,80,22,1760
11/4/2022,Coat,Clothing,100,18,1800
11/5/2022,Smartwatch,Accessories,200,12,2400
11/6/2022,Smartphone,Electronics,600,7,4200
11/7/2022,Backpack,Bags,50,20,1000
11/8/2022,T-Shirt,Clothing,20,30,600
11/9/2022,Jeans,Clothing,50,25,1250
11/10/2022,Watch,Accessories,150,15,2250
11/10/2022,Hoodie,Clothing,40,15,600
11/11/2022,Smartphone,Electronics,600,12,7200
11/12/2022,Sneakers,Shoes,80,8,640
11/13/2022,Wallet,Accessories,30,35,1050
11/14/2022,Smartwatch,Accessories,200,9,1800
11/15/2022,Smartphone,Electronics,600,6,3600
11/16/2022,Coat,Clothing,100,8,800
11/17/2022,Speaker,Electronics,80,20,1600
11/18/2022,Backpack,Bags,50,15,750
11/19/2022,T-Shirt,Clothing,20,25,500
11/20/2022,Smartphone,Electronics,600,7,4200
11/21/2022,Sneakers,Shoes,80,12,960
11/22/2022,T-Shirt,Clothing,20,15,300
11/23/2022,Smartwatch,Accessories,200,8,1600
11/24/2022,Jeans,Clothing,50,20,1000
11/25/2022,Smartphone,Electronics,600,9,5400
11/26/2022,Watch,Accessories,150,5,750
11/27/2022,Coat,Clothing,100,5,500
11/28/2022,Headphones,Electronics,100,10,1000
11/29/2022,Smartphone,Electronics,600,11,6600
11/30/2022,Hoodie,Clothing,40,30,1200
12/1/2022,Smartphone,Electronics,600,10,6000
12/2/2022,Speaker,Electronics,80,25,2000
12/3/2022,Coat,Clothing,100,15,1500
12/4/2022,Smartwatch,Accessories,200,10,2000
12/5/2022,Smartphone,Electronics,600,7,4200
12/6/2022,Backpack,Bgas,50,18,900
12/7/2022,T-Shirt,Clothing,20,35,700
12/8/2022,Jeans,Clothing,50,10,500
12/9/2022,Watch,Accessories,150,12,1800
12/10/2022,Hoodie,Clothing,40,20,800
12/11/2022,Smartphone,Electronics,600,12,7200
12/12/2022,Sneakers,Shoes,80,15,1200
12/13/2022,Wallet,Accessories,30,40,1200
12/14/2022,Smartwatch,Accessories,200,5,1000
12/15/2022,Smartphone,Electronics,600,6,3600
12/16/2022,Coat,Clothing,100,8,800
12/17/2022,Speaker,Electronics,80,20,1600
12/18/2022,Backpack,Bags,50,15,750
12/19/2022,T-Shirt,Clothing,20,20,400
12/20/2022,Tablet,Electronics,400,6,2400
12/21/2022,Smartphone,Electronics,600,7,4200
12/22/2022,Sneakers,Shoeses,80,12,960
12/23/2022,T-Shirt,Clothing,20,25,500
12/24/2022,Smartwatch,Accessories,200,8,1600
12/25/2022,Jeans,Clothing,50,15,750
12/26/2022,Smartphone,Electronics,600,9,5400
12/27/2022,Watch,Accessories,150,5,750
12/28/2022,Coat,Clothing,100,5,500
12/29/2022,Headphones,Electronics,100,10,1000
12/30/2022,Smartphone,Electronics,600,11,6600
12/31/2022,Hoodie,Clothing,40,30,1200
